index_time,index_volume,V_events,time,calv_event_3414_x,calv_event_3414_y,calv_event_4326_x,calv_event_4326_y
54,64,-7781.16878951508,2024-07-19 23:53:01,-43762.7645076379,-3171383.09705997,-45.7905896239339,61.3118379104081
55,62,-8244.03016084594,2024-07-20 00:43:01,-43849.7182486563,-3171368.65290267,-45.7921638811303,61.311952919768
56,38,-31713.5725246028,2024-07-20 01:13:01,-43804.17105098,-3171378.97015789,-45.7913385821548,61.3118687859773
57,76,-5473.94229700822,2024-07-20 01:13:01,-43810.3820324813,-3171304.68592036,-45.7914693080496,61.3125131629742
58,7,-91054.1104431378,2024-07-20 02:53:02,-43493.6219759143,-3171502.77722043,-45.7856984349579,61.3108307041883
59,77,-5250.048067543,2024-07-20 06:32:01,-43893.1951191655,-3171374.8432558,-45.792947661524,61.3118939364573
60,31,-39512.6084448284,2024-07-20 15:13:01,-43857.9995573247,-3171315.00317557,-45.792326869443,61.3124178466599
61,10,-84938.0703347291,2024-07-20 15:23:01,-43884.9138104971,-3171323.25697974,-45.7928109699454,61.3123429329117
62,21,-57732.0127604615,2024-07-20 18:13:01,-43932.5313353405,-3171360.3990985,-45.7936618090323,61.3120146464466
63,5,-137884.600541515,2024-07-20 20:33:02,-43944.9532983431,-3171352.14529433,-45.7938882548246,61.3120848319506
64,0,-263123.62819653,2024-07-21 06:33:01,-44031.9070393615,-3171399.60466831,-45.7954470150156,61.3116621972468
65,57,-13991.9017175109,2024-07-21 23:33:02,-44046.3993295312,-3171383.09705997,-45.7957129293469,61.31180380957
66,52,-19135.3297185956,2024-07-22 00:03:01,-44125.0717618812,-3171411.98537456,-45.7971267297742,61.3115434320252
67,6,-119380.455843212,2024-07-22 00:13:01,-44143.7047063851,-3171416.11227665,-45.7974622559523,61.3115053401636
68,13,-75906.9414283644,2024-07-22 05:13:01,-43301.0815493736,-3171603.8863215,-45.7821957528861,61.3099755065294
69,19,-60939.1076767247,2024-07-22 05:23:01,-43290.7299135381,-3171601.82287046,-45.7820092916753,61.3099946536676
70,46,-24601.6893532574,2024-07-22 05:53:02,-44232.7287745706,-3171414.04882561,-45.7990707998305,61.3115124879476
71,44,-25538.7783385466,2024-07-22 21:23:02,-42940.8446222974,-3171783.40656219,-45.7756452917694,61.3084590098461
72,72,-6421.67912362795,2024-07-23 02:33:01,-43468.7780499091,-3171395.47776622,-45.7852762579864,61.3117655030107
73,35,-34488.4483478802,2024-07-23 06:03:01,-43775.1864706405,-3171389.2874131,-45.7908124591152,61.3117826614593
74,3,-154745.346475061,2024-07-23 16:53:01,-44882.8115050414,-3171255.16309534,-45.8108537020203,61.3128130056667
75,68,-6995.98957390008,2024-07-23 19:53:01,-42075.4478664478,-3171552.30004545,-45.7600707603063,61.3105667705722
76,80,-4898.84428755063,2024-07-24 07:53:01,-43994.6411503536,-3171405.79502144,-45.7947723329975,61.3116129287097
77,50,-20143.132587625,2024-07-25 05:53:01,-43899.4061006668,-3171378.97015789,-45.7930588191201,61.3118573498094
78,8,-88855.2434181283,2024-07-25 13:13:01,-43220.3387898565,-3171657.53604861,-45.7807241822169,61.309519153186
79,22,-56562.8211428258,2024-07-25 13:23:01,-43228.620098525,-3171659.59949965,-45.780873247753,61.3095002531597
80,27,-48621.7263450323,2024-07-25 15:53:01,-43785.5381064761,-3171420.23917873,-45.7909917220518,61.3115126201604
