index_time,index_volume,V_events,time,coord_4326_x,coord_4326_y,Coord_3413_x,Coord_3413_y
100,53,-21956.8322648901,2023-08-14 04:12:01,-45.7923948096579,61.3128658391596,-43861.046714085,-3171263.37587565
101,54,-21831.7143866041,2023-08-14 04:32:02,-45.7777013288261,61.3092159335779,-43053.4799232411,-3171694.72076298
102,48,-23351.0506450492,2023-08-14 04:52:01,-45.7922458923846,61.3128846636529,-43852.7743255858,-3171261.32268983
103,44,-25094.4834278887,2023-08-14 05:02:01,-45.7766767239678,61.310065722236,-42995.4350869866,-3171597.65632334
104,117,-7830.74580659543,2023-08-14 05:02:01,-45.7838790375625,61.3113530849187,-43392.0897084921,-3171444.01695149
105,114,-7957.45410740881,2023-08-14 07:22:01,-45.7856304630807,61.3111993194474,-43489.2775870879,-3171460.39149033
106,30,-35840.2149669025,2023-08-14 08:42:01,-45.7924690416653,61.3128474502223,-43865.1846634195,-3171265.43607772
107,49,-23231.8120954575,2023-08-14 08:52:01,-45.7918373876758,61.3129768250077,-43830.0173744795,-3171251.02517249
108,77,-12532.3528442041,2023-08-14 11:42:02,-45.7770518947377,61.3101354000277,-43016.093797928,-3171589.35292556
109,127,-7005.27358371396,2023-08-14 12:12:02,-45.7767158396066,61.3101373220647,-42997.4885741513,-3171589.38389355
110,76,-12550.7226171547,2023-08-14 12:42:01,-45.7841817995131,61.3115129403991,-43408.5963328954,-3171425.38406531
111,4,-135349.851848257,2023-08-14 12:52:01,-45.7827192335201,61.3112699934935,-43328.0227533224,-3171454.46066789
112,63,-18306.7448787548,2023-08-14 12:52:01,-45.791278151951,61.3130159955183,-43799.0020797015,-3171246.94331158
113,24,-44672.7450506848,2023-08-14 14:12:01,-45.7781885069904,61.3092849668585,-43080.3404565334,-3171686.406947
114,79,-12517.8873868281,2023-08-14 14:12:01,-45.7767887420957,61.310065081682,-43001.6368302607,-3171597.64600263
115,89,-11247.2609212506,2023-08-14 16:22:02,-45.7933607262133,61.3126626863298,-43914.833080018,-3171286.02401904
116,58,-20215.7812764027,2023-08-14 17:12:01,-45.7767509586349,61.3100473418762,-42999.5730228259,-3171599.71669087
117,65,-17359.2162434394,2023-08-14 17:42:01,-45.7948098047581,61.3123669208624,-43995.5110437519,-3171318.96244706
118,56,-20559.9616075592,2023-08-14 18:42:01,-45.7763189215552,61.3091879298297,-42976.9983465626,-3171698.98261653
119,45,-24461.5767480473,2023-08-14 18:52:01,-45.7777404457259,61.3092875331183,-43055.5333991091,-3171686.44829763
120,52,-22139.0704894485,2023-08-14 18:52:01,-45.7765629299231,61.3099945493577,-42989.2471016804,-3171605.93563496
121,132,-5395.52133231622,2023-08-14 19:42:01,-45.759359446738,61.307416393318,-42040.8810098524,-3171915.5189669
122,19,-52532.4870269917,2023-08-15 03:12:01,-45.7911229002925,61.3127834730818,-43790.7787466098,-3171273.83118461
123,60,-19005.697693332,2023-08-15 03:42:01,-45.77675051455,61.310029388542,-42999.576463149,-3171601.78393887
124,14,-67440.780131695,2023-08-15 05:02:01,-45.7770985838138,61.3090039127631,-43020.4451407695,-3171719.58293559
125,70,-14118.4393111857,2023-08-15 05:02:01,-45.791421187588,61.3127637796571,-43807.3200189655,-3171275.87037425
126,12,-75399.3961559656,2023-08-15 05:22:01,-45.7745187104683,61.3088750010928,-42877.8318137224,-3171736.35811491
127,0,-297912.353221917,2023-08-15 05:32:01,-45.7740324316574,61.3088418613192,-42850.9643038426,-3171740.53721879
128,78,-12528.990059439,2023-08-15 06:42:01,-45.7762398071135,61.3090088232261,-42972.8982178352,-3171719.66206066
129,108,-8263.83384578617,2023-08-15 13:52:01,-45.790678407284,61.3129297082266,-43765.9440844967,-3171257.33544906
130,59,-19108.4749582785,2023-08-15 17:02:02,-45.7882533204512,61.3115432423055,-43633.9142995773,-3171418.80284258
131,115,-7916.08083371415,2023-08-15 17:02:02,-45.791795517568,61.3127975100586,-43827.9852176165,-3171271.70087822
132,32,-35130.0757796931,2023-08-15 21:12:02,-45.7923929973371,61.3127940261214,-43861.0607496006,-3171271.64475724
133,116,-7837.94465220409,2023-08-15 21:52:03,-45.7926903774179,61.3127384233922,-43877.609045978,-3171277.81834374
